year,survey,hauljoin,stratum_og,area_km2_og,stratum_new,area_km2_new,area_id_og,area_id_new,n_grid_og,pinc
2005,47,-12940,13,12347.492,24,29910.170085528796,805,803,494,0.06275303643724696
2005,47,-12942,13,12347.492,15,37901.15027415562,805,805,494,0.06275303643724696
2005,47,-12943,13,12347.492,14,7888.04981705442,805,805,494,0.06275303643724696
2005,47,-12944,13,12347.492,14,7888.04981705442,805,805,494,0.06275303643724696
2005,47,-12945,112,2278.242,113,9129.220094865688,805,805,91,0.04395604395604396
2005,47,-12946,12,6806.293000000001,15,37901.15027415562,805,805,272,0.09926470588235294
2005,47,-12947,12,6806.293000000001,15,37901.15027415562,805,805,272,0.09926470588235294
2005,47,-12948,12,6806.293000000001,15,37901.15027415562,805,805,272,0.09926470588235294
2005,47,-12949,120,11104.35,15,37901.15027415562,803,805,444,0.04054054054054054
2005,47,-12950,120,11104.35,24,29910.170085528796,803,803,444,0.04054054054054054
2005,47,-12951,120,11104.35,123,17945.68999261703,803,803,444,0.04054054054054054
2005,47,-12952,120,11104.35,24,29910.170085528796,803,803,444,0.04054054054054054
2005,47,-12953,120,11104.35,24,29910.170085528796,803,803,444,0.04054054054054054
2005,47,-12954,120,11104.35,24,29910.170085528796,803,803,444,0.04054054054054054
2005,47,-12955,21,7297.996,24,29910.170085528796,803,803,292,0.06506849315068493
2005,47,-12956,21,7297.996,24,29910.170085528796,803,803,292,0.06506849315068493
2005,47,-12958,21,7297.996,24,29910.170085528796,803,803,292,0.06506849315068493
2005,47,-12959,21,7297.996,24,29910.170085528796,803,803,292,0.06506849315068493
2005,47,-12960,21,7297.996,24,29910.170085528796,803,803,292,0.06506849315068493
2005,47,-12962,122,5008.5070000000005,24,29910.170085528796,803,803,200,0.1
2005,47,-12963,221,1528.313,123,17945.68999261703,803,803,61,0.13114754098360656
2005,47,-12964,320,1603.96,321,2699.050011149546,803,803,64,0.15625
2005,47,-12965,420,1953.2130000000002,321,2699.050011149546,803,803,78,0.07692307692307693
2005,47,-12966,320,1603.96,321,2699.050011149546,803,803,64,0.15625
2005,47,-12968,320,1603.96,222,6241.23006753992,803,803,64,0.15625
2005,47,-12969,21,7297.996,24,29910.170085528796,803,803,292,0.06506849315068493
2005,47,-12970,21,7297.996,24,29910.170085528796,803,803,292,0.06506849315068493
2005,47,-12971,121,7734.515,24,29910.170085528796,803,803,309,0.07766990291262135
2005,47,-12972,121,7734.515,123,17945.68999261703,803,803,309,0.07766990291262135
2005,47,-12973,220,10015.928,222,6241.23006753992,803,803,401,0.04239401496259352
2005,47,-12974,220,10015.928,222,6241.23006753992,803,803,401,0.04239401496259352
2005,47,-12975,121,7734.515,123,17945.68999261703,803,803,309,0.07766990291262135
2005,47,-12976,121,7734.515,123,17945.68999261703,803,803,309,0.07766990291262135
2005,47,-12978,122,5008.5070000000005,24,29910.170085528796,803,803,200,0.1
2005,47,-12979,121,7734.515,24,29910.170085528796,803,803,309,0.07766990291262135
2005,47,-12980,122,5008.5070000000005,123,17945.68999261703,803,803,200,0.1
2005,47,-12981,320,1603.96,321,2699.050011149546,803,803,64,0.15625
2005,47,-12982,122,5008.5070000000005,123,17945.68999261703,803,803,200,0.1
2005,47,-12983,122,5008.5070000000005,123,17945.68999261703,803,803,200,0.1
2005,47,-12984,122,5008.5070000000005,123,17945.68999261703,803,803,200,0.1
2005,47,-12985,121,7734.515,123,17945.68999261703,803,803,309,0.07766990291262135
2005,47,-12986,121,7734.515,24,29910.170085528796,803,803,309,0.07766990291262135
2005,47,-12987,220,10015.928,222,6241.23006753992,803,803,401,0.04239401496259352
2005,47,-12988,220,10015.928,123,17945.68999261703,803,803,401,0.04239401496259352
2005,47,-12989,121,7734.515,24,29910.170085528796,803,803,309,0.07766990291262135
2005,47,-12990,22,10759.218,24,29910.170085528796,803,803,430,0.08604651162790698
2005,47,-12991,22,10759.218,23,9566.650039792166,803,803,430,0.08604651162790698
2005,47,-12992,121,7734.515,24,29910.170085528796,803,803,309,0.07766990291262135
2005,47,-12993,22,10759.218,24,29910.170085528796,803,803,430,0.08604651162790698
2005,47,-12994,121,7734.515,123,17945.68999261703,803,803,309,0.07766990291262135
2005,47,-12995,121,7734.515,123,17945.68999261703,803,803,309,0.07766990291262135
2005,47,-12996,220,10015.928,222,6241.23006753992,803,803,401,0.04239401496259352
