year,area_id,species_code,biomass_mt,biomass_var
2025,805,420,14522.308277,21830852.874937
2025,805,435,360.005647,49748.244648
2025,805,440,1564.916688,358396.914433
2025,805,455,25.672998999999997,659.102873
2025,805,471,0,0
2025,805,472,1310.862841,345841.665065
2025,805,475,0,0
2025,805,480,133.174889,5754.02573
2025,805,10170,2480.87302,665838.327763
2025,805,10210,15124.016500000002,73070043.90528
2025,805,10220,14516.978235,50075868.573815
2025,805,10250,37.918095,1437.781939
2025,805,10270,5921.554227,7585378.232375
2025,805,10285,3610.756013,3024331.263366
2025,805,30020,13846.77815,11117726.744189
2025,805,30100,22.772703,518.595984
2025,805,30430,11.386351,129.648996
2025,805,30475,0,0
2025,805,30535,131.620682,7324.960551
2025,805,30560,316.935988,58113.589956
2025,805,30576,342.062342,24261.056651
2025,99903,310,17832.643195,7008461.744662
2025,99903,420,46239.75082,51123123.501242
2025,99903,435,1469.867816,113298.380175
2025,99903,440,32559.244383,12878756.647825
2025,99903,455,90.899841,4913.643829
2025,99903,471,296.933676,29739.203132
2025,99903,472,7385.000627,1815768.651737
2025,99903,475,43.989761,1935.099109
2025,99903,480,133.174889,5754.02573
2025,99903,10170,26741.842545,61745054.440254
2025,99903,10210,29712.204106,113963701.473925
2025,99903,10220,44366.331771,224825905.197259
2025,99903,10250,4283.057524,3155930.633766
2025,99903,10270,19386.977602,25719175.733866
2025,99903,10285,5673.03961,3888418.978072
2025,99903,30020,75842.066724,50096859.534999
2025,99903,30100,30898.501515,52333049.024727
2025,99903,30430,26844.881584,134964454.001855
2025,99903,30475,5336.034869,960412.787767
2025,99903,30535,7802.873594,30361691.73979
2025,99903,30560,14216.815056,33253969.866698
2025,99903,30576,47535.689906,225659534.804066
