year,survey,stratum,hauljoin,lat_mid,long_mid
2005,47,150,-13131,57.64918,-136.5013
2005,47,351,-13132,57.274375,-136.301945
2005,47,351,-13133,57.25384,-136.293045
2005,47,250,-13134,57.183605,-136.205845
2005,47,250,-13135,56.76731,-135.90255
2005,47,250,-13136,56.72057,-135.858495
2005,47,150,-13137,56.35623,-135.5223
2005,47,250,-13138,56.277785,-135.5114
2005,47,350,-13139,56.13942,-135.23905
2005,47,50,-13140,55.886875,-134.471645
2005,47,151,-13141,55.7072,-134.4038
2005,47,151,-13142,55.718415,-134.2211
2005,47,151,-13143,55.906115,-133.807755
2005,47,151,-13144,55.7198,-134.101005
2005,47,251,-13145,55.644775,-134.1521
2005,47,151,-13146,55.63739,-134.037005
2005,47,151,-13147,55.657665,-133.855005
2005,47,50,-13148,55.55423,-133.8683
2005,47,151,-13149,55.5577,-133.78065
2005,47,50,-13150,55.435965,-133.898805
2005,47,151,-13151,55.517505,-134.18885
2005,47,251,-13152,55.597285,-134.4744
2005,47,251,-13154,55.67538,-134.635705
2005,47,350,-13155,56.09365,-135.28565
2005,47,350,-13156,55.989565,-134.56955
2005,47,151,-13158,55.821695,-134.767945
2005,47,351,-13161,55.92662,-135.416805
2005,47,351,-13162,55.93169,-135.4334
2005,47,450,-13163,55.667675,-135.342105
2005,47,151,-13164,55.364635,-134.392095
2005,47,251,-13165,55.001525,-134.27295
2005,47,151,-13166,54.952135,-134.201905
2005,47,251,-13167,54.937235,-134.248145
2005,47,251,-13168,54.80689,-134.18965
2005,47,251,-13169,54.79383,-134.173105
2005,47,251,-13170,54.81792,-134.091545
2005,47,151,-13171,54.795995,-133.7266
2005,47,151,-13172,54.78195,-133.891255
2005,47,251,-13173,54.73482,-134.012155
2005,47,251,-13175,54.56413,-133.7547
2005,47,251,-13176,54.65992,-133.7576
2005,47,251,-13177,54.707345,-133.42875
2005,47,31,-13062,57.47166,-151.13085
2005,47,31,-13063,57.456665,-151.2289
2005,47,31,-13064,57.6164,-151.08065
2005,47,31,-13065,57.82769,-150.560855
2005,47,330,-13066,57.535005,-150.152405
2005,47,330,-13067,57.48619,-150.158895
2005,47,230,-13068,58.099465,-149.95405
2005,47,31,-13069,58.275795,-149.594145
2005,47,131,-13070,58.394305,-149.61255
2005,47,131,-13071,58.519225,-149.992305
2005,47,131,-13072,58.5255,-149.913145
2005,47,131,-13073,58.57773,-149.85885
2005,47,131,-13074,58.662695,-149.7757
2005,47,131,-13075,58.69184,-149.595245
2005,47,131,-13076,58.688565,-149.44735
2005,47,131,-13077,58.71114,-149.42989
2005,47,131,-13078,58.73124,-149.34135
2005,47,131,-13079,58.498665,-149.191905
2005,47,131,-13080,58.631795,-149.01075
2005,47,131,-13081,58.62189,-148.694255
2005,47,230,-13082,58.763775,-148.68539
2005,47,230,-13083,58.90134,-148.535795
2005,47,330,-13084,58.974575,-148.0142
2005,47,430,-13086,58.87785,-148.042545
