year,area_id,species_code,biomass_mt,biomass_var,population_count,population_var
1996,99903,30152,74480.036185,1079219000.70284,48744389,436602213508172
1996,99903,10200,72757.070662,28097079.929589,197882142,173947342309122
1996,99903,30100,24127.25057,41592852.815505,14421987,17349628360538.3
1996,99903,10210,47789.187514,85349116.328972,126298699,736064475448713
1996,99903,30150,0,0,0,0
1996,99903,10170,7945.904823,5046557.454292,16322655,22000779173287.3
1996,99903,10180,79530.250176,31628340.764358,93826007,39108610285254.89
1996,99903,30050,45912.639812,55241156.993202,48071284,36118104984363.6
1996,99903,30060,771412.761688,41434152201.6257,1252616603,91729492316265500
1996,99903,10130,205520.913282,339665919.573973,677244793,3505279534533986
1996,99903,21740,735199.994658,10644022180.5905,1790332780,246890604858808e3
1999,99903,455,45.678197,1053.607434,46052,1112379616.57875
1999,99903,460,677.018812,107572.347938,553074,50640561482.23
1999,99903,30050,39559.708962,33555060.685249,51894029,58782517842274.89
1999,99903,30060,727063.471837,150983542177.814,1212034913,357789721023028800
1999,99903,30100,37641.17463,153140522.658262,22105158,52411088711050.7
1999,99903,30150,0,0,0,0
1999,99903,440,39333.602622,29949959.592825,4297198,184778322375.9679
1999,99903,10170,14432.773847,17798617.834659,36462328,145628248844560
1999,99903,10180,74245.217617,27413206.237034,98842936,49894403855381.6
1999,99903,10200,74967.94679,74916234.625332,227842423,332464455256548
1999,99903,310,31743.011698,19173477.615355,13808280,4859247418607.2
1999,99903,400,0,0,0,0
1999,99903,10210,48312.489155,217625197.847603,123814090,2360039330833329
1999,99903,10220,46656.18461,130887373.602722,25760199,38792256165379.1
1999,99903,30576,28274.653832,30393882.514015,7886057,2424359204096.77
1999,99903,10250,234.26029,11027.474777,457928,63880036035.7959
1999,99903,410,0,0,0,0
1999,99903,10261,61543.381914,229034167.419418,151313019,1200813238818455
1999,99903,10262,106234.716396,111943234.511272,154084274,233872145181164
1999,99903,420,54650.399722,64739762.083715,2944402,285803862172.176
1999,99903,10270,14187.928648,7635444.81633,37826285,59463394620107.6
1999,99903,435,3818.259329,608306.522911,1714083,49193397236.0116
1999,99903,10285,8679.550118,8229538.496738,6857453,2963797824168.41
1999,99903,30020,77335.349478,16038614.870398,318732664,316813855755086
1999,99903,10110,1262150.825607,9862725943.3279,1676492206,10063914598084400
1999,99903,20510,169913.66162,193784126.850674,82587757,55888080856652.5
1999,99903,10130,207590.539904,595563352.652463,651882489,5148738036418054
1999,99903,30420,242186.970791,21641102895.3295,303817842,37527142733599200
1999,99903,30430,8226.053799,16374663.164536,12701917,37204401675982.2
1999,99903,30475,10941.023145,20254925.43135,8702768,7422900688012.81
1999,99903,30535,9876.455469,17587021.690902,39987578,435929746958368
1999,99903,30560,20840.561565,188096993.367092,69830476,1737816346015588
1999,99903,483,0,0,0,0
1999,99903,21740,633804.66579,53990634174.1101,891662159,47531288829611504
1999,99903,485,0,0,0,0
1999,99903,21720,306413.043442,1497600891.42388,166638839,348359472489030
1999,99903,30152,49628.0671,368405763.365018,33532791,140636513482875
1999,99903,471,1568.659421,243669.884336,440675,15203255099.214
1999,99903,472,11292.954598,3455715.428072,1619797,37087294092.4701
1999,99903,480,1469.209488,314750.725697,175838,4587448408.32784
1999,99903,475,7.532063,56.731977,31515,993189492.339107
2001,99903,440,23274.69087,13532431.921304,2330630,113607910868.0829
2001,99903,455,0,0,0,0
2001,99903,460,0,0,0,0
2001,99903,310,31774.350692,204014361.433147,9320816,14398903332010.5
2001,99903,30050,31685.175637,49003679.099794,36829550,50985815990065.39
2001,99903,30060,673155.063028,49285342922.0676,1189370120,170537033536697100
2001,99903,435,2596.058233,145887.342753,1479144,39372126658.5395
2001,99903,410,0,0,0,0
2001,99903,420,39082.268852,53147039.805622,1650189,92418822398.6558
2001,99903,30020,28661.177388,4867561.835773,120186643,95090515548357.8
2001,99903,472,6592.377987,2886885.510478,860261,31097472870.3411
2001,99903,471,3634.860295,1106569.866534,762579,45063034270.0339
2001,99903,400,0,0,0,0
2001,99903,30100,62.993866999999995,1328.027443,155111,9057670933.96331
2001,99903,30150,0,0,0,0
2001,99903,30152,31003.773555,86098076.131723,27292359,80910856695264.8
2001,99903,10200,51257.82483,19399368.008322,154588791,260583606431947
2001,99903,10170,3467.142797,4361354.343142,4481293,5974318653333.73
2001,99903,10180,32423.909461,14122296.075148,33510089,11610383297341.69
2001,99903,10270,8945.772948,10885602.055504,26042145,98548999128610.4
2001,99903,10261,64808.866605,97759182.855607,140774688,306846798458787
2001,99903,10262,122491.631111,214419574.155193,174732266,404774084977608
2001,99903,10285,3639.236836,779066.385345,2775523,469554860531.62
2001,99903,30560,1797.227178,1519229.231203,4950790,8444243302979.96
2001,99903,30535,8364.758877,17384056.64272,23718377,144000179575384
2001,99903,30576,17415.045664,10579696.319483,5805653,1216237840388.14
2001,99903,483,0,0,0,0
2001,99903,480,0,0,0,0
2001,99903,485,0,0,0,0
2001,99903,10130,153594.243862,334890019.416353,468289678,2704851088402782
2001,99903,10210,55197.579934,598628815.666881,124798772,2742349064700790
2001,99903,10220,71810.095316,2138345390.08276,39274584,689363028332753
2001,99903,10250,275.11393599999997,55059.35631,313549,68654991214.8601
2001,99903,30475,414.546776,9777.446975,686528,30546600227.7621
2001,99903,30420,343613.650564,42219837394.3087,452230846,65372028439007600
2001,99903,30430,126.622306,5827.888223,167857,7822222458.55708
2001,99903,475,0,0,0,0
2001,99903,10110,1360738.0148,23012756037.8448,1761306082,15906053000414e3
2001,99903,21740,210814.603888,3856838817.44985,740156277,29962632773391200
2001,99903,21720,257613.798795,2751707718.90433,158424465,811258107862398
2001,99903,20510,188563.066236,2298402171.46164,99797024,770154772857900
2003,99903,485,52.215579,2726.466677,17640,311183651.014105
2003,99903,20510,240150.980252,710074556.771495,105101943,206631568807169
2003,99903,30020,101575.698527,69524493.83005,378299463,693624881114768
2003,99903,455,0,0,0,0
2003,99903,410,0,0,0,0
2003,99903,420,55396.711162,82386888.154659,4086476,672626332772.726
2003,99903,460,0,0,0,0
2003,99903,475,0,0,0,0
2003,99903,21740,423312.160156,2593856015.14268,780511673,7324174545754118
2003,99903,30535,3544.505834,2504457.533915,30264016,427173030228812
2003,99903,471,1907.535991,319103.210257,444221,12573265276.2803
2003,99903,480,263.742549,23134.178335,29814,293774856.105623
2003,99903,435,3700.882189,323378.835827,1923811,65996082759.0405
2003,99903,472,15813.343467,5595307.31325,2213945,80820172647.27441
2003,99903,483,0,0,0,0
2003,99903,440,39603.237207,12967599.483443,4833094,165313184970.2909
2003,99903,30475,3440.681761,563886.16475,4084323,641504915931.52
