"YEAR","SPECIES_CODE","EST_TYPE","AREA_ID","BIOMASS_MT","BIOMASS_LCI","BIOMASS_HCI","POPULATION_COUNT","POPULATION_LCI","POPULATION_HCI","REGION"
1990,30430,"ORIG",803,14.652407,0,34.725061926063,60326,0,157377.996610536,"Central GOA"
1990,30430,"ORIG",804,27524.762231,0,55742.0857820134,71023046,0,150669041.974789,"Eastern GOA"
1990,30430,"ORIG",805,0,0,0,0,0,0,"Western GOA"
1990,30430,"ORIG",99903,27539.414639,0,55756.7453294472,71083373,0,150729428.105737,"GOA"
1990,20510,"ORIG",99903,213068.178964,139449.78184435,286686.57608365,76557785,55177451.8776697,97938118.1223303,"GOA"
1990,410,"ORIG",803,0,0,0,0,0,0,"Central GOA"
1990,410,"ORIG",804,0,0,0,0,0,0,"Eastern GOA"
1990,410,"ORIG",805,0,0,0,0,0,0,"Western GOA"
1990,410,"ORIG",99903,0,0,0,0,0,0,"GOA"
1990,420,"ORIG",803,9049.240752,2828.26353652905,15270.2179674709,487747,174463.148367142,801030.851632858,"Central GOA"
1990,420,"ORIG",804,11469.124566,2677.70175958272,20260.5473724173,975142,111452.012325508,1838831.98767449,"Eastern GOA"
1990,420,"ORIG",805,1703.585332,166.547890571504,3240.6227734285,78442,21671.7160053934,135212.283994607,"Western GOA"
1990,420,"ORIG",99903,22221.95065,11342.9729143414,33100.9283856586,1541331,620825.686789961,2461836.31321004,"GOA"
1990,440,"ORIG",803,8660.635217,3787.66306506185,13533.6073689382,1535700,103308.16372052,2968091.83627948,"Central GOA"
1990,440,"ORIG",804,2248.540752,1110.32354063256,3386.75796336744,465942,241501.04080228,690382.95919772,"Eastern GOA"
1990,440,"ORIG",805,1030.675907,0,2472.41779607381,37172,0,82755.6924306711,"Western GOA"
1990,440,"ORIG",99903,11939.851875,6732.16374219789,17147.5400078021,2038814,588228.604436779,3489399.39556322,"GOA"
1990,460,"ORIG",803,0,0,0,0,0,0,"Central GOA"
1990,460,"ORIG",804,0,0,0,0,0,0,"Eastern GOA"
1990,460,"ORIG",805,0,0,0,0,0,0,"Western GOA"
1990,460,"ORIG",99903,0,0,0,0,0,0,"GOA"
1990,475,"ORIG",803,0,0,0,0,0,0,"Central GOA"
1990,475,"ORIG",804,0,0,0,0,0,0,"Eastern GOA"
1990,475,"ORIG",805,0,0,0,0,0,0,"Western GOA"
1990,475,"ORIG",99903,0,0,0,0,0,0,"GOA"
1990,480,"ORIG",803,0,0,0,0,0,0,"Central GOA"
1990,480,"ORIG",804,0,0,0,0,0,0,"Eastern GOA"
1990,480,"ORIG",805,0,0,0,0,0,0,"Western GOA"
1990,480,"ORIG",99903,0,0,0,0,0,0,"GOA"
1990,483,"ORIG",803,0,0,0,0,0,0,"Central GOA"
1990,30020,"ORIG",803,5940.587729,3030.70635382284,8850.46910417716,23575533,11655436.8810568,35495629.1189432,"Central GOA"
1990,30020,"ORIG",804,11709.222208,9275.53652742849,14142.9078885715,69591207,55192345.1318991,83990068.8681009,"Eastern GOA"
1990,30020,"ORIG",805,1679.001109,360.462927471213,2997.53929052879,7308956,284316.289228194,14333595.7107718,"Western GOA"
